Date,GameID,Drive,qtr,down,time,TimeUnder,TimeSecs,PlayTimeDiff,SideofField,yrdln,yrdline100,ydstogo,ydsnet,GoalToGo,FirstDown,posteam,DefensiveTeam,desc,PlayAttempted,Yards.Gained,sp,Touchdown,ExPointResult,TwoPointConv,DefTwoPoint,Safety,Onsidekick,PuntResult,PlayType,Passer,Passer_ID,PassAttempt,PassOutcome,PassLength,AirYards,YardsAfterCatch,QBHit,PassLocation,InterceptionThrown,Interceptor,Rusher,Rusher_ID,RushAttempt,RunLocation,RunGap,Receiver,Receiver_ID,Reception,ReturnResult,Returner,BlockingPlayer,Tackler1,Tackler2,FieldGoalResult,FieldGoalDistance,Fumble,RecFumbTeam,RecFumbPlayer,Sack,Challenge.Replay,ChalReplayResult,Accepted.Penalty,PenalizedTeam,PenaltyType,PenalizedPlayer,Penalty.Yards,PosTeamScore,DefTeamScore,ScoreDiff,AbsScoreDiff,HomeTeam,AwayTeam,Timeout_Indicator,Timeout_Team,posteam_timeouts_pre,HomeTimeouts_Remaining_Pre,AwayTimeouts_Remaining_Pre,HomeTimeouts_Remaining_Post,AwayTimeouts_Remaining_Post,No_Score_Prob,Opp_Field_Goal_Prob,Opp_Safety_Prob,Opp_Touchdown_Prob,Field_Goal_Prob,Safety_Prob,Touchdown_Prob,ExPoint_Prob,TwoPoint_Prob,ExpPts,EPA,airEPA,yacEPA,Home_WP_pre,Away_WP_pre,Home_WP_post,Away_WP_post,Win_Prob,WPA,airWPA,yacWPA,Season
31/12/17,2017123107,1,1,NA,15:00,15,3600,0,WAS,35,35,0,75,0,NA,NYG,WAS,"D.Hopkins kicks 65 yards from WAS 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,0,NA,Kickoff,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,Touchback,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,NYG,WAS,0,None,3,3,3,3,3,0.00137368,0.16263151,0.004440726,0.254178634,0.233081174,0.003655713,0.340638564,0,0,0.814998476,0,NA,NA,0.500006822,0.499993178,0.500006822,0.499993178,0.500006822,0,NA,NA,2017
31/12/17,2017123107,1,1,1,15:00,15,3600,0,NYG,25,75,10,0,0,0,NYG,WAS,(15:00) (Shotgun) E.Manning pass incomplete short left to M.Bundy (B.Breeland).,1,0,0,0,NA,NA,NA,0,0,NA,Pass,E.Manning,00-0022803,1,Incomplete Pass,Short,8,0,0,left,0,NA,NA,None,0,NA,NA,M.Bundy,00-0033087,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,NYG,WAS,0,None,3,3,3,3,3,0.00137368,0.16263151,0.004440726,0.254178634,0.233081174,0.003655713,0.340638564,0,0,0.814998476,-0.771685073,0.85394845,-1.625633524,0.500006822,0.499993178,0.477719631,0.522280369,0.500006822,-0.022287191,0.025737181,-0.048024372,2017
31/12/17,2017123107,1,1,2,14:57,15,3597,3,NYG,25,75,10,75,0,0,NYG,WAS,"(14:57) (No Huddle, Shotgun) O.Darkwa right guard for 75 yards, TOUCHDOWN.",1,75,1,1,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,O.Darkwa,00-0030860,1,right,guard,NA,None,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,0,0,0,NYG,WAS,0,None,3,3,3,3,3,0.001424237,0.188642785,0.005703025,0.295527703,0.212911673,0.003985466,0.291805111,0,0,0.043313402,6.956686598,NA,NA,0.477719631,0.522280369,0.704434711,0.295565289,0.477719631,0.22671508,NA,NA,2017
31/12/17,2017123107,1,1,NA,14:43,15,3583,14,WAS,15,15,0,75,0,0,NYG,WAS,"A.Rosas extra point is Blocked (A.Lanier), Center-Z.DeOssie, Holder-B.Wing. DEFENSIVE TWO-POINT ATTEMPT. D.Swearinger recovered the blocked kick. ATTEMPT FAILS.",1,0,0,0,Blocked,NA,Failure,0,0,NA,Extra Point,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,6,0,6,6,NYG,WAS,0,None,3,3,3,3,3,0,0,0,0,0,0,0,0.93111495,0,0.93111495,-0.93111495,NA,NA,0.704434711,0.295565289,0.684521346,0.315478654,0.704434711,-0.019913365,NA,NA,2017
31/12/17,2017123107,2,1,NA,14:43,15,3583,0,NYG,35,35,0,0,0,NA,WAS,NYG,"A.Rosas kicks 65 yards from NYG 35 to end zone, Touchback.",1,0,0,0,NA,NA,NA,0,0,NA,Kickoff,NA,None,0,NA,NA,0,0,0,NA,0,NA,NA,None,0,NA,NA,NA,None,0,Touchback,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,6,-6,6,NYG,WAS,0,None,3,3,3,3,3,0.001470818,0.16251487,0.00443644,0.253832883,0.233166263,0.003652771,0.340925954,0,0,0.820038338,0,NA,NA,0.684521346,0.315478654,0.684521346,0.315478654,0.315478654,0,NA,NA,2017
31/12/17,2017123107,2,1,1,14:43,15,3583,0,WAS,25,75,10,3,0,0,WAS,NYG,(14:43) S.Perine right end pushed ob at WAS 24 for -1 yards (R.Cockrell).,1,-1,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,S.Perine,00-0033526,1,right,end,NA,None,0,NA,NA,NA,R.Cockrell,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,6,-6,6,NYG,WAS,0,None,3,3,3,3,3,0.001470818,0.16251487,0.00443644,0.253832883,0.233166263,0.003652771,0.340925954,0,0,0.820038338,-0.910208745,NA,NA,0.684521346,0.315478654,0.712353991,0.287646009,0.315478654,-0.027832645,NA,NA,2017
31/12/17,2017123107,2,1,2,14:06,15,3546,37,WAS,24,76,11,3,0,0,WAS,NYG,"(14:06) S.Perine right tackle to WAS 28 for 4 yards (R.Armstrong, D.Tomlinson). WAS-S.Perine was injured during the play.",1,4,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,S.Perine,00-0033526,1,right,tackle,NA,None,0,NA,NA,NA,R.Armstrong,D.Tomlinson,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,6,-6,6,NYG,WAS,0,None,3,3,3,3,3,0.001773166,0.193125089,0.006219572,0.302521833,0.20885234,0.003963237,0.283544763,0,0,-0.090170407,-0.334053073,NA,NA,0.712353991,0.287646009,0.721466023,0.278533977,0.287646009,-0.009112032,NA,NA,2017
31/12/17,2017123107,2,1,3,13:31,14,3511,35,WAS,28,72,7,3,0,1,WAS,NYG,(13:31) (Shotgun) K.Cousins pass short middle intended for J.Doctson INTERCEPTED by K.Sheppard [A.Adams] at WAS 31. K.Sheppard to WAS 19 for 12 yards (K.Bibbs).,1,0,0,0,NA,NA,NA,0,0,NA,Pass,K.Cousins,00-0029604,1,Incomplete Pass,Short,3,0,1,middle,1,K.Sheppard,NA,None,0,NA,NA,NA,00-0032760,0,NA,NA,NA,K.Bibbs,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,0,6,-6,6,NYG,WAS,0,None,3,3,3,3,3,0.001908412,0.209033024,0.005377712,0.321783236,0.186327016,0.004372317,0.271198283,0,0,-0.42422348,-4.00170887,-1.205516247,-2.796192623,0.721466023,0.278533977,0.808476142,0.191523858,0.278533977,-0.08701012,-0.036150593,-0.050859527,2017
31/12/17,2017123107,3,1,1,13:23,14,3503,8,WAS,19,19,10,3,0,0,NYG,WAS,"(13:23) O.Darkwa right guard to WAS 16 for 3 yards (A.Francis, J.Norman).",1,3,0,0,NA,NA,NA,0,0,NA,Run,NA,None,0,NA,NA,0,0,0,NA,0,NA,O.Darkwa,00-0030860,1,right,guard,NA,None,0,NA,NA,NA,A.Francis,J.Norman,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,6,0,6,6,NYG,WAS,0,None,3,3,3,3,3,4.46E-04,0.032613184,3.02E-05,0.050368845,0.381426639,0.002734052,0.532380879,0,0,4.425932349,-0.239993812,NA,NA,0.808476142,0.191523858,0.804103715,0.195896285,0.808476142,-0.004372428,NA,NA,2017
31/12/17,2017123107,3,1,2,12:48,13,3468,35,WAS,16,16,7,19,0,0,NYG,WAS,"(12:48) (No Huddle) E.Manning pass deep middle to H.Sharp for 16 yards, TOUCHDOWN.",1,16,1,1,NA,NA,NA,0,0,NA,Pass,E.Manning,00-0022803,1,Complete,Deep,16,0,0,middle,0,NA,NA,None,0,NA,NA,H.Sharp,00-0032839,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0,NA,NA,NA,0,6,0,6,6,NYG,WAS,0,None,3,3,3,3,3,5.05E-04,0.033053786,5.48E-05,0.051803058,0.435151538,0.002729133,0.476702563,0,0,4.185938537,2.814061463,2.814061463,0,0.804103715,0.195896285,0.858626731,0.141373269,0.804103715,0.054523017,0.054523017,0,2017
